Pech,in,fdb,int,w_d,TrErr,TrErr,Score,,
,0.001,0,0.01,0.01,0.10716,0.37117,404,,
,0.01,0,0.01,0.01,0.04942,0.28678,460,,
,0.1,0,0.01,0.01,0.065053,0.33458,448,,
,0.001,0.2,0.01,0.01,0.082451,0.37416,412,,
,0.01,0.2,0.01,0.01,0.040091,0.27334,468,,
,0.1,0.2,0.01,0.01,0.058497,0.32114,420,,
,0.001,0.4,0.01,0.01,0.11246,0.50187,332,,
,0.01,0.4,0.01,0.01,0.03177,0.25765,472,,
,0.1,0.4,0.01,0.01,0.050429,0.29574,456,,
,0.001,0.6,0.01,0.01,0.11901,0.54444,296,,
,0.01,0.6,0.01,0.01,0.022189,0.25317,468,,
,0.1,0.6,0.01,0.01,0.044881,0.29276,440,,
,0.001,0.8,0.01,0.01,0.13767,0.57879,288,,
,0.01,0.8,0.01,0.01,0.016894,0.25168,428,,
,0.1,0.8,0.01,0.01,0.042108,0.29724,444,,
,0.001,1,0.01,0.01,0.15683,0.57207,308,,
,0.01,1,0.01,0.01,0.014624,0.26438,448,,
0.1,0.1,1,0.01,0.01,0.043621,0.29873,436,,412.666666666667
,0.001,0,0.01,0.01,0.15772,0.34914,416,,
,0.01,0,0.01,0.01,0.085855,0.23376,504,,
,0.1,0,0.01,0.01,0.10615,0.28641,460,,
,0.001,0.2,0.01,0.01,0.14889,0.34989,436,,
,0.01,0.2,0.01,0.01,0.074004,0.22704,504,,
,0.1,0.2,0.01,0.01,0.097579,0.27894,468,,
,0.001,0.4,0.01,0.01,0.16503,0.43503,376,,
,0.01,0.4,0.01,0.01,0.058497,0.21135,516,,
,0.1,0.4,0.01,0.01,0.086485,0.2696,476,,
,0.001,0.6,0.01,0.01,0.18469,0.55414,312,,
,0.01,0.6,0.01,0.01,0.049924,0.19978,504,,
,0.1,0.6,0.01,0.01,0.082955,0.2711,456,,
,0.001,0.8,0.01,0.01,0.22592,0.55713,316,,
,0.01,0.8,0.01,0.01,0.041982,0.19193,508,,
,0.1,0.8,0.01,0.01,0.079551,0.26774,452,,
,0.001,1,0.01,0.01,0.25391,0.49776,356,,
,0.01,1,0.01,0.01,0.032274,0.18932,504,,
0.2,0.1,1,0.01,0.01,0.08182,0.26027,456,,445.555555555556
,0.001,0,0.01,0.01,0.17297,0.34767,420,,
,0.01,0,0.01,0.01,0.094604,0.23925,476,,
,0.1,0,0.01,0.01,0.1174,0.29092,460,,
,0.001,0.2,0.01,0.01,0.15542,0.35125,404,,
,0.01,0.2,0.01,0.01,0.07877,0.22969,488,,
,0.1,0.2,0.01,0.01,0.10671,0.28315,444,,
,0.001,0.4,0.01,0.01,0.18245,0.44385,368,,
,0.01,0.4,0.01,0.01,0.065961,0.21953,488,,
,0.1,0.4,0.01,0.01,0.10217,0.2721,460,,
,0.001,0.6,0.01,0.01,0.20494,0.51135,356,,
,0.01,0.6,0.01,0.01,0.050933,0.20759,492,,
,0.1,0.6,0.01,0.01,0.098941,0.26822,460,,
,0.001,0.8,0.01,0.01,0.25366,0.53883,324,,
,0.01,0.8,0.01,0.01,0.041755,0.20639,504,,
,0.1,0.8,0.01,0.01,0.096924,0.26792,464,,
,0.001,1,0.01,0.01,0.27201,0.49283,376,,
,0.01,1,0.01,0.01,0.032375,0.18877,504,,
0.25,0.1,1,0.01,0.01,0.090872,0.25986,464,,441.777777777778
,0.001,0,0.01,0.01,0.19525,0.33149,412,,
,0.01,0,0.01,0.01,0.10756,0.23518,492,,
,0.1,0,0.01,0.01,0.13449,0.27057,460,,
,0.001,0.2,0.01,0.01,0.18844,0.3406,416,,
,0.01,0.2,0.01,0.01,0.094801,0.22756,488,,
,0.1,0.2,0.01,0.01,0.12581,0.26684,456,,
,0.001,0.4,0.01,0.01,0.20624,0.39227,384,,
,0.01,0.4,0.01,0.01,0.085977,0.22129,496,,
,0.1,0.4,0.01,0.01,0.12304,0.26221,472,,
,0.001,0.6,0.01,0.01,0.26171,0.51098,368,,
,0.01,0.6,0.01,0.01,0.075084,0.21293,496,,
,0.1,0.6,0.01,0.01,0.11976,0.26221,460,,
,0.001,0.8,0.01,0.01,0.30457,0.5171,348,,
,0.01,0.8,0.01,0.01,0.063688,0.20666,512,,
,0.1,0.8,0.01,0.01,0.118,0.25997,444,,
,0.001,1,0.01,0.01,0.31284,0.46065,380,,
,0.01,1,0.01,0.01,0.052645,0.19606,520,,
0.5,0.1,1,0.01,0.01,0.11981,0.25534,444,,447.111111111111
,0.001,0,0.01,0.01,0.19868,0.32879,412,,
,0.01,0,0.01,0.01,0.11043,0.2389,492,,
,0.1,0,0.01,0.01,0.13628,0.27235,464,,
,0.001,0.2,0.01,0.01,0.19656,0.33018,424,,
,0.01,0.2,0.01,0.01,0.10206,0.23024,488,,
,0.1,0.2,0.01,0.01,0.1307,0.26777,460,,
,0.001,0.4,0.01,0.01,0.21105,0.38602,396,,
,0.01,0.4,0.01,0.01,0.092446,0.22278,492,,
,0.1,0.4,0.01,0.01,0.12993,0.26697,464,,
,0.001,0.6,0.01,0.01,0.27731,0.50926,332,,
,0.01,0.6,0.01,0.01,0.084445,0.21571,508,,
,0.1,0.6,0.01,0.01,0.12825,0.26379,468,,
,0.001,0.8,0.01,0.01,0.32743,0.50159,356,,
,0.01,0.8,0.01,0.01,0.073856,0.20864,504,,
,0.1,0.8,0.01,0.01,0.12832,0.2614,456,,
,0.001,1,0.01,0.01,0.32682,0.45212,380,,
,0.01,1,0.01,0.01,0.060477,0.19869,508,,
0.75,0.1,1,0.01,0.01,0.13053,0.26299,452,,447.555555555556
,0.001,0,0.01,0.01,0.2018,0.33231,408,,
,0.01,0,0.01,0.01,0.11053,0.23703,484,,
,0.1,0,0.01,0.01,0.13476,0.27548,464,,
,0.001,0.2,0.01,0.01,0.19587,0.33296,416,,
,0.01,0.2,0.01,0.01,0.10145,0.23442,488,,
,0.1,0.2,0.01,0.01,0.13107,0.27044,460,,
,0.001,0.4,0.01,0.01,0.21078,0.36926,416,,
,0.01,0.4,0.01,0.01,0.09231,0.22947,492,,
,0.1,0.4,0.01,0.01,0.13189,0.26689,464,,
,0.001,0.6,0.01,0.01,0.27955,0.49748,352,,
,0.01,0.6,0.01,0.01,0.083832,0.22172,488,,
,0.1,0.6,0.01,0.01,0.13259,0.26848,468,,
,0.001,0.8,0.01,0.01,0.33356,0.51586,360,,
,0.01,0.8,0.01,0.01,0.072298,0.21529,500,,
,0.1,0.8,0.01,0.01,0.13353,0.26792,468,,
,0.001,1,0.01,0.01,0.33193,0.44718,388,,
,0.01,1,0.01,0.01,0.060416,0.19923,508,,
0.8,0.1,1,0.01,0.01,0.13369,0.2668,444,,448.222222222222
,0.001,0,0.01,0.01,0.202,0.32982,416,,
,0.01,0,0.01,0.01,0.11152,0.23521,492,,
,0.1,0,0.01,0.01,0.13761,0.27269,456,,
,0.001,0.2,0.01,0.01,0.19932,0.33053,420,,
,0.01,0.2,0.01,0.01,0.10274,0.23159,492,,
,0.1,0.2,0.01,0.01,0.13416,0.2668,472,,
,0.001,0.4,0.01,0.01,0.2141,0.37061,404,,
,0.01,0.4,0.01,0.01,0.09488,0.22468,500,,
,0.1,0.4,0.01,0.01,0.13421,0.26523,460,,
,0.001,0.6,0.01,0.01,0.28435,0.48527,376,,
,0.01,0.6,0.01,0.01,0.086706,0.21862,496,,
,0.1,0.6,0.01,0.01,0.13469,0.26499,464,,
,0.001,0.8,0.01,0.01,0.33464,0.50326,364,,
,0.01,0.8,0.01,0.01,0.076833,0.21305,504,,
,0.1,0.8,0.01,0.01,0.13527,0.26318,472,,
,0.001,1,0.01,0.01,0.32859,0.45234,384,,
,0.01,1,0.01,0.01,0.065129,0.19961,516,,
0.95,0.1,1,0.01,0.01,0.13652,0.26892,444,,451.777777777778
,0.001,0,0.01,0.01,0.20175,0.3281,408,,
,0.01,0,0.01,0.01,0.11285,0.23392,496,,
,0.1,0,0.01,0.01,0.13788,0.27296,456,,
,0.001,0.2,0.01,0.01,0.19915,0.33261,420,,
,0.01,0.2,0.01,0.01,0.10348,0.23112,496,,
,0.1,0.2,0.01,0.01,0.13455,0.26682,468,,
,0.001,0.4,0.01,0.01,0.2126,0.37608,400,,
,0.01,0.4,0.01,0.01,0.095861,0.22583,500,,
,0.1,0.4,0.01,0.01,0.13473,0.26487,460,,
,0.001,0.6,0.01,0.01,0.2848,0.48744,364,,
,0.01,0.6,0.01,0.01,0.087851,0.22016,500,,
,0.1,0.6,0.01,0.01,0.13575,0.26417,464,,
,0.001,0.8,0.01,0.01,0.33646,0.50735,344,,
,0.01,0.8,0.01,0.01,0.075953,0.21347,496,,
,0.1,0.8,0.01,0.01,0.13573,0.26402,460,,
,0.001,1,0.01,0.01,0.33509,0.45019,376,,
,0.01,1,0.01,0.01,0.064923,0.19986,516,,
0.96,0.1,1,0.01,0.01,0.13751,0.27086,448,,448.444444444445
,0.001,0,0.01,0.01,0.20209,0.32665,408,,
,0.01,0,0.01,0.01,0.1123,0.23379,488,,
,0.1,0,0.01,0.01,0.13769,0.27356,460,,
,0.001,0.2,0.01,0.01,0.19926,0.33283,416,,
,0.01,0.2,0.01,0.01,0.10373,0.2309,492,,
,0.1,0.2,0.01,0.01,0.13476,0.26625,464,,
,0.001,0.4,0.01,0.01,0.21284,0.37267,392,,
,0.01,0.4,0.01,0.01,0.09568,0.22442,504,,
,0.1,0.4,0.01,0.01,0.13455,0.26472,456,,
,0.001,0.6,0.01,0.01,0.2822,0.49493,340,,
,0.01,0.6,0.01,0.01,0.087833,0.21978,496,,
,0.1,0.6,0.01,0.01,0.13615,0.26472,456,,
,0.001,0.8,0.01,0.01,0.33973,0.52122,352,,
,0.01,0.8,0.01,0.01,0.076642,0.21391,500,,
,0.1,0.8,0.01,0.01,0.13651,0.26358,456,,
,0.001,1,0.01,0.01,0.33423,0.45418,384,,
,0.01,1,0.01,0.01,0.065811,0.19974,508,,
0.98,0.1,1,0.01,0.01,0.13733,0.26876,444,,445.333333333333
,0.001,0,0.01,0.01,0.20307,0.32813,408,,
,0.01,0,0.01,0.01,0.11293,0.23421,484,,
,0.1,0,0.01,0.01,0.13839,0.27266,452,,
,0.001,0.2,0.01,0.01,0.19969,0.33179,416,,
,0.01,0.2,0.01,0.01,0.10433,0.231,488,,
,0.1,0.2,0.01,0.01,0.13502,0.26684,464,,
,0.001,0.4,0.01,0.01,0.21522,0.37173,404,,
,0.01,0.4,0.01,0.01,0.095961,0.22279,500,,
,0.1,0.4,0.01,0.01,0.13507,0.26497,464,,
,0.001,0.6,0.01,0.01,0.28271,0.49761,336,,
,0.01,0.6,0.01,0.01,0.088321,0.22017,492,,
,0.1,0.6,0.01,0.01,0.13625,0.26497,468,,
,0.001,0.8,0.01,0.01,0.34295,0.5106,344,,
,0.01,0.8,0.01,0.01,0.07753,0.21308,504,,
,0.1,0.8,0.01,0.01,0.13648,0.26475,452,,
,0.001,1,0.01,0.01,0.33591,0.44983,376,,
,0.01,1,0.01,0.01,0.066285,0.20069,508,,
1,0.1,1,0.01,0.01,0.13812,0.2702,444,,444.666666666667
